"Instagram","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75390625","1","1","1","0.90625","0.90625","0.90625","1","1","1","1","1","1","1","1"
"Cristiano Ronaldo","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Ariana Grande","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.2109375","1","0.10546875","0.2109375","0.2109375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375","0.24609375"
"Selena Gomez","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125","0.70703125"
"The Rock","0.50390625","1","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.59765625","0.59765625","0.50390625","0.59765625","0.59765625","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125"
"Kim Kardashian West","1","1","1","1","1","1","1","1","0.84765625","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kylie Jenner","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Beyoncé","0.63671875","0.63671875","0.63671875","0.63671875","0.63671875","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.75","0.5625","0.3515625","0.5625","0.5625","0.3984375","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.28125","0.28125","0.28125","0.28125"
"Taylor Swift","0.75390625","0.6015625","0.6015625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","1","1","0.75390625","1","1","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625","0.75390625"
"Leo Messi","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","1","1","1","1","1","1","1","1","1","1","1","1"
"Neymar jr","1","1","1","1","1","1","1","1","1","1","1","1","1","0.50390625","0.50390625","0.50390625","0.50390625","1","1","1","1","1","1","1","1","1","1","1","1"
"Kendall Jenner","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75390625","0.75390625","0.75390625","1","1","1","1","1","1","1","1","1","1","1","1"
"Justin Bieber","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75390625","0.6015625","0.75390625","0.75390625","1","1","1","1","1","1","1","1","0.75390625","0.75390625","0.75390625","0.75390625"
"National Geographic","0.50390625","0.50390625","0.50390625","0.50390625","0.50390625","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.15234375"
"Barbie","0.3984375","0.3984375","0.3984375","1","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","1","0.7421875","0.6484375","0.7421875","0.7421875","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375"
"Khloe Kardashian","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.89453125","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.89453125","0.89453125","0.953125","0.953125","0.953125","0.953125","0.953125","0.953125","0.84765625","0.84765625","0.84765625","0.84765625"
"Jennifer Lopez","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","1","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125"
"Miley Cyrus","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","1","0.59765625","0.50390625","0.59765625","0.59765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625"
"Nike","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.6015625","1","1","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75"
"Katy Perry","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","0.2578125","1","0.7421875","0.75390625","1","1","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375","0.3984375"
