"Plattform;Suchbegriff;Kat1;Kat2;Kat3;Kat4;Kat5;Kat6;Kat7;Kat8;Kat9;Kat10"
"siri_simulator;Instagram;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.009;0.250;0.741"
"siri_simulator;Cristiano Ronaldo;0.250;0.000;0.250;0.250;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Ariana Grande;0.241;0.250;0.362;0.000;0.138;0.000;0.000;0.009;0.000;0.000"
"siri_simulator;Selena Gomez;0.250;0.000;0.181;0.000;0.319;0.250;0.000;0.000;0.000;0.000"
"siri_simulator;The Rock;0.000;0.491;0.000;0.000;0.000;0.000;0.000;0.509;0.000;0.000"
"siri_simulator;Kim Kardashian West;0.500;0.000;0.250;0.000;0.000;0.000;0.000;0.250;0.000;0.000"
"siri_simulator;Kylie Jenner;0.250;0.250;0.000;0.250;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Beyoncé;0.009;0.000;0.336;0.000;0.000;0.000;0.009;0.647;0.000;0.000"
"siri_simulator;Taylor Swift;0.250;0.216;0.534;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Leo Messi;0.397;0.250;0.000;0.000;0.250;0.000;0.000;0.103;0.000;0.000"
"siri_simulator;Neymar jr;0.250;0.250;0.250;0.000;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Kendall Jenner;0.250;0.250;0.000;0.000;0.474;0.000;0.000;0.026;0.000;0.000"
"siri_simulator;Justin Bieber;0.250;0.000;0.259;0.000;0.250;0.241;0.000;0.000;0.000;0.000"
"siri_simulator;National Geographic;0.000;0.000;0.000;0.000;0.000;0.000;0.250;0.000;0.750;0.000"
"siri_simulator;Barbie;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.259;0.741;0.000"
"siri_simulator;Khloe Kardashian;0.250;0.000;0.000;0.000;0.750;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Jennifer Lopez;0.250;0.000;0.750;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Miley Cyrus;0.250;0.009;0.000;0.000;0.491;0.000;0.250;0.000;0.000;0.000"
